date,description,amount
2026-05-02,SQ *BLUE BOTTLE COFFEE,-6.75
2026-05-05,MIDJOURNEY INC SUBSCRIPTION,-30.00
2026-05-08,ANTHROPIC*CLAUDE.AI SUBSCR,-20.00
2026-05-11,TFL TRAVEL CHARGE,-14.20
2026-05-14,NOTION LABS INC RECURRING,-12.00
2026-05-19,WHOLE FOODS MKT 10287,-84.31
2026-06-04,SQ *BLUE BOTTLE COFFEE,-5.25
2026-06-05,MIDJOURNEY INC SUBSCRIPTION,-30.00
2026-06-08,ANTHROPIC*CLAUDE.AI SUBSCR,-20.00
2026-06-13,UNITED AIRLINES 0162884,-318.40
2026-06-14,NOTION LABS INC RECURRING,-12.00
2026-06-22,SQ *BLUE BOTTLE COFFEE,-7.10
2026-07-05,MIDJOURNEY INC SUBSCRIPTION,-30.00
2026-07-08,ANTHROPIC*CLAUDE.AI SUBSCR,-20.00
2026-07-09,SHELL OIL 5744120,-52.66
2026-07-14,NOTION LABS INC RECURRING,-12.00
2026-07-21,SQ *BLUE BOTTLE COFFEE,-6.75
